Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
1,2,"691,58",08/05/2025 17:00:12,RPM4I52,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
2,2,"612,9",08/05/2025 17:00:24,QTI8873,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
3,2,"664,78",08/05/2025 17:01:06,JOZ6233,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
4,2,"629,05",08/05/2025 17:01:19,PJO5163,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
5,2,"626,64",08/05/2025 17:01:33,RPT1A65,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
6,2,"613,14",08/05/2025 17:02:01,,Desconhecido,Desconhecido,Black,5,ASCON GUARAJUBA,ANPR,
7,2,"728,22",08/05/2025 17:02:16,SKL4A31,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
8,2,"632,16",08/05/2025 17:02:26,PLN9E25,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
9,2,"619,31",08/05/2025 17:03:00,SJT7203,Desconhecido,Black,Black,5,ASCON GUARAJUBA,ANPR,
10,2,"712,31",08/05/2025 17:03:24,PTX1H18,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
11,2,"662,07",08/05/2025 17:04:10,RCT1G05,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
12,2,"657,35",08/05/2025 17:04:12,PKW2203,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
13,1,"614,08",08/05/2025 17:04:49,IB6895,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
14,2,"706,34",08/05/2025 17:05:12,,Desconhecido,Desconhecido,Black,5,ASCON GUARAJUBA,ANPR,
15,2,"702,78",08/05/2025 17:05:19,SKJ3601,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
16,2,"743,8",08/05/2025 17:06:23,RDJ7030,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
17,2,"675,45",08/05/2025 17:06:46,PLO1I00,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
18,2,"697,87",08/05/2025 17:06:54,SJV1E10,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
19,2,"714,59",08/05/2025 17:07:12,,Desconhecido,Desconhecido,Black,5,ASCON GUARAJUBA,ANPR,
20,2,"679,75",08/05/2025 17:07:17,JK7344,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
21,2,"721,89",08/05/2025 17:08:20,PLH8371,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
22,2,"686,82",08/05/2025 17:08:33,PNR0A02,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
23,2,"708,19",08/05/2025 17:08:40,NYX8F33,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
24,2,"690,67",08/05/2025 17:08:53,PKX7243,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
25,2,"656,69",08/05/2025 17:09:18,SKA1871,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
26,2,"656,61",08/05/2025 17:09:59,OKL1671,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
27,2,"760,16",08/05/2025 17:10:00,SKI8J99,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
28,2,"703,93",08/05/2025 17:10:29,RCQ5H85,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
29,2,"648,19",08/05/2025 17:10:44,GCY7B01,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
30,2,"645,29",08/05/2025 17:10:52,SJB2F36,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
31,2,"693,7",08/05/2025 17:10:57,RDI3E60,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
32,2,"618,65",08/05/2025 17:11:43,,Desconhecido,Desconhecido,Black,5,ASCON GUARAJUBA,ANPR,
33,2,"633,6",08/05/2025 17:11:49,OZI6195,Desconhecido,White,Gray,5,ASCON GUARAJUBA,ANPR,
34,2,"649,99",08/05/2025 17:12:28,RDN5I98,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
35,2,"676,35",08/05/2025 17:12:33,SKS0A21,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
36,2,"605,4",08/05/2025 17:12:50,RVO3E89,Desconhecido,White,Gray,5,ASCON GUARAJUBA,ANPR,
37,2,"624,46",08/05/2025 17:13:14,,Desconhecido,Desconhecido,Black,5,ASCON GUARAJUBA,ANPR,
38,2,"621,77",08/05/2025 17:13:34,PLI2N99,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
39,2,"696,26",08/05/2025 17:13:48,TEB8E13,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
40,2,"613,66",08/05/2025 17:13:56,SJS8J84,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
41,2,"591,49",08/05/2025 17:14:50,FEG8696,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
42,2,"645,68",08/05/2025 17:15:01,OVB4J95,Desconhecido,White,Gray,5,ASCON GUARAJUBA,ANPR,
43,2,"645,59",08/05/2025 17:15:07,RCZ8I07,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
44,2,"655,03",08/05/2025 17:15:21,OK1097,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
45,2,"619,77",08/05/2025 17:16:21,ACV6803,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
46,2,"672,33",08/05/2025 17:16:40,SJT0B47,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
47,2,"615,25",08/05/2025 17:17:20,JRN5239,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
48,2,"628,21",08/05/2025 17:18:13,RDP5B90,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
49,2,"640,53",08/05/2025 17:18:16,BV3375,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
50,2,"611,2",08/05/2025 17:18:22,TAO3618,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
51,2,"621,76",08/05/2025 17:18:42,RPP1632,Desconhecido,White,Gray,5,ASCON GUARAJUBA,ANPR,
52,2,"605,87",08/05/2025 17:19:25,JLT6705,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
53,2,"620,11",08/05/2025 17:19:27,SKR6F17,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
54,2,"638,03",08/05/2025 17:19:32,JSC5037,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
55,2,"587,29",08/05/2025 17:19:50,FLT8H68,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
56,2,"700,08",08/05/2025 17:20:34,RPC5C02,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
57,2,"572,61",08/05/2025 17:20:49,,Desconhecido,Desconhecido,Black,5,ASCON GUARAJUBA,ANPR,
58,2,"591,24",08/05/2025 17:20:54,,Desconhecido,Desconhecido,Black,5,ASCON GUARAJUBA,ANPR,
59,2,"643,29",08/05/2025 17:20:55,SJV6565,Desconhecido,Black,Black,5,ASCON GUARAJUBA,ANPR,
60,2,"682,11",08/05/2025 17:21:12,GPO1E43,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
61,2,"618,8",08/05/2025 17:21:16,JRP4685,Desconhecido,Black,Black,5,ASCON GUARAJUBA,ANPR,
62,2,"609,21",08/05/2025 17:21:24,SKP0E38,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
63,2,"679,97",08/05/2025 17:21:39,PLS3C94,Desconhecido,White,Gray,5,ASCON GUARAJUBA,ANPR,
64,2,"690,76",08/05/2025 17:21:42,LR4C58,Desconhecido,Black,Black,5,ASCON GUARAJUBA,ANPR,
65,2,"629,38",08/05/2025 17:21:49,PJR3B59,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
66,2,"635,95",08/05/2025 17:22:00,SKG5A10,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
67,2,"641,13",08/05/2025 17:22:04,PLK4G64,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
68,2,"756,79",08/05/2025 17:22:06,OUO9440,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
