Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
210238,,,07/05/2025 13:02:59,PKG8F45,,,,,SOL,,
317924,,,07/05/2025 13:04:26,RPB2C28,,,,,SOL,,
448490,,,07/05/2025 13:06:39,PJH9543,,,,,SOL,,
332299,,,07/05/2025 13:14:50,SKT0D68,,,,,SOL,,
971774,,,07/05/2025 13:20:32,RDH0B53,,,,,SOL,,
906540,,,07/05/2025 13:22:28,OKJ4990,,,,,SOL,,
397460,,,07/05/2025 13:31:13,PLC8H27,,,,,SOL,,
730660,,,07/05/2025 13:33:04,PJP3659,,,,,SOL,,
164,,,07/05/2025 13:36:47,TEB8E13,,,,,SOL,,
959254,,,07/05/2025 13:40:20,OKQ3G27,,,,,SOL,,
522149,,,07/05/2025 13:43:39,SKJ4C21,,,,,SOL,,
367671,,,07/05/2025 13:44:17,PLW7C82,,,,,SOL,,
48008,,,07/05/2025 13:47:59,PLT4I72,,,,,SOL,,
170243,,,07/05/2025 13:50:49,NYK5215,,,,,SOL,,
608988,,,07/05/2025 13:51:26,RVJ1D62,,,,,SOL,,
216294,,,07/05/2025 13:54:24,Sem placa,,,,,SOL,,
559195,,,07/05/2025 13:55:40,JKL7E42,,,,,SOL,,
860910,,,07/05/2025 13:55:59,NTV0I58,,,,,SOL,,
753525,,,07/05/2025 14:02:29,CUK4B93,,,,,SOL,,
729912,,,07/05/2025 14:05:39,NYK0H41,,,,,SOL,,
525325,,,07/05/2025 14:05:45,Sem placa,,,,,SOL,,
766908,,,07/05/2025 14:10:11,JRX1528,,,,,SOL,,
72882,,,07/05/2025 14:16:38,PKY0359,,,,,SOL,,
361022,,,07/05/2025 14:16:57,Sem placa,,,,,SOL,,
577908,,,07/05/2025 14:17:41,OLB1B42,,,,,SOL,,
65084,,,07/05/2025 14:18:06,Sem placa,,,,,SOL,,
487739,,,07/05/2025 14:23:55,Sem placa,,,,,SOL,,
190070,,,07/05/2025 14:23:59,HCO7546,,,,,SOL,,
702727,,,07/05/2025 14:25:50,RZG8I44,,,,,SOL,,
822141,,,07/05/2025 14:27:54,QWU4H85,,,,,SOL,,
804187,,,07/05/2025 14:35:33,TCV9I29,,,,,SOL,,
597130,,,07/05/2025 14:42:39,QOQ2F68,,,,,SOL,,
