Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
1,1,"774,9",21/04/2025 19:52:36,RNG8C43,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
2,1,"771,64",21/04/2025 20:24:20,STF9E17,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
3,1,"1091,93",21/04/2025 21:06:42,GCP4A63,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
4,1,"865,01",21/04/2025 21:18:52,PJY7H61,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
5,1,"869,25",21/04/2025 21:19:39,SYZ5A21,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
6,1,"866,48",21/04/2025 21:43:14,,Desconhecido,Desconhecido,Black,5,ASCON GENIPABU,ANPR,
7,1,"1249,24",21/04/2025 21:57:30,,Desconhecido,Desconhecido,Black,0,ASCON GENIPABU,ANPR,
8,1,"976,36",21/04/2025 22:00:30,,Desconhecido,Desconhecido,Black,5,ASCON GENIPABU,ANPR,
9,1,892,21/04/2025 23:16:58,UAI7F84,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
10,1,"625,54",21/04/2025 23:32:53,SKJ3G01,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
11,1,"435,02",21/04/2025 23:35:25,TKY8I18,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
12,1,"735,25",22/04/2025 00:11:36,KV8380,Desconhecido,Black,Black,5,ASCON GENIPABU,ANPR,
13,1,"926,88",22/04/2025 02:31:36,,Desconhecido,Desconhecido,Black,5,ASCON GENIPABU,ANPR,
14,1,"948,88",22/04/2025 05:19:14,SKC0D65,Desconhecido,White,Gray,5,ASCON GENIPABU,ANPR,
15,1,"894,74",22/04/2025 05:23:16,,Desconhecido,Desconhecido,Black,0,ASCON GENIPABU,ANPR,
16,1,"1049,06",22/04/2025 05:35:17,NZY1229,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
17,1,"740,35",22/04/2025 05:41:50,PKI0B50,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
18,1,"918,38",22/04/2025 05:47:56,SKE0G38,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
19,1,"1077,67",22/04/2025 05:52:28,OUL9G21,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
20,1,"1009,42",22/04/2025 05:53:15,OVC0D24,Desconhecido,White,Blue,5,ASCON GENIPABU,ANPR,
21,1,"1135,82",22/04/2025 05:55:23,NZL2748,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
22,1,"1004,38",22/04/2025 05:55:28,,Desconhecido,Desconhecido,Black,5,ASCON GENIPABU,ANPR,
23,1,"1200,25",22/04/2025 06:25:02,RPS4A40,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
24,1,"1005,19",22/04/2025 06:25:38,PLQ9E46,Desconhecido,White,White,5,ASCON GENIPABU,ANPR,
25,1,"989,73",22/04/2025 06:26:14,RPG5D07,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
26,1,"967,26",22/04/2025 06:28:48,RCV8870,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
27,1,"1423,66",22/04/2025 06:29:30,JA6D33,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
28,1,"1092,2",22/04/2025 06:32:11,PJQ6732,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
29,1,"1074,82",22/04/2025 06:34:11,,Desconhecido,Desconhecido,Black,5,ASCON GENIPABU,ANPR,
30,1,"1105,24",22/04/2025 06:34:45,PLZ4152,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
31,1,"1173,18",22/04/2025 06:35:05,OUZ1316,Desconhecido,White,Black,5,ASCON GENIPABU,ANPR,
32,1,"1217,95",22/04/2025 06:39:22,,Desconhecido,Desconhecido,Black,5,ASCON GENIPABU,ANPR,
